nombre_largo,nombre,cargo,fecha_inicio,fecha_fin,highlited,Fecha de salida El Peruano,Fecha última
Cesar Augusto Cervantes Cardenas,César Cervantes Cárdenas,Ministro del Interior,2022-12-10,2022-12-21,FALSE,21/12/2022,NO
Victor Eduardo Rojas Herrera,Víctor Rojas Herrera,Ministro del Interior,2022-12-21,2023-01-13,FALSE,13/01/2023,NO
Vicente Romero Fernandez,Vicente Romero Fernández,Ministro del Interior,2023-01-13,2023-11-17,FALSE,17/11/2023,NO
Victor Manuel Torres Falcon,Víctor Torres Falcón,Ministro del Interior,2023-11-21,2024-04-01,FALSE,01/04/2024,NO
Walter Ortiz Acosta,Walter Ortiz Acosta,Ministro del Interior,2024-04-01,2024-05-16,FALSE,16/05/2024,NO
Juan Jose Santivañez Antunez,Juan Santiváñez Antúnez*,Ministro del Interior,2024-05-16,2025-03-21,FALSE,,SI
Abel Cesar Gamarra Malpartida,Abel Gamarra Malpartida,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2022-12-14,2022-12-29,FALSE,29/12/2022,NO
Jaime Florencio Reyes Miranda,Jaime Reyes Miranda,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2023-01-17,2023-12-21,FALSE,21/12/2023,NO
Cesar German Chumpitaz Ayudante,César Chumpitaz Ayudante,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2023-12-21,2024-02-18,FALSE,18/02/2024,NO
Juan Jose Santivañez Antunez,Juan Santiváñez Antúnez,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-02-18,2024-03-25,FALSE,25/03/2024,NO
Omar German Valdez Ortiz,Omar Valdez Ortiz,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-03-27,2024-04-04,FALSE,04/04/2024,NO
Juan Jose Santivañez Antunez,Juan Santiváñez Antúnez,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-04-04,2024-04-17,FALSE,17/04/2024,NO
Clever Heli Vidal Vasquez,Clever Vidal Vásquez,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-04-23,2024-06-13,FALSE,13/06/2024,NO
Walter Enrique Zegarra Figueroa,Walter Zegarra Figueroa,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-06-13,2024-10-12,FALSE,12/10/2024,NO
Erick Fernando Caso Giraldo,Erick Caso Giraldo,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-10-12,2025-03-21,TRUE,,SI
Juan Enrique Izquierdo Herrera,Juan Izquierdo Herrera,Secretario/a General,2023-01-11,2023-01-20,FALSE,20/01/2023,NO
Maria Elena Juscamaita Arangüena,María Juscamaita Arangüena,Secretario/a General,2023-01-19,2023-01-23,FALSE,23/01/2023,NO
Tabata Dulce Vivanco Del Castillo,Tabata Vivanco del Castillo,Secretario/a General,2023-01-31,2023-12-30,FALSE,30/12/2023,NO
Manuel Jesus Ordoñez Reaño,Manuel Ordoñez Reaño,Secretario/a General,2023-12-30,2024-06-13,FALSE,13/06/2024,NO
Carlos Alberto Francisco Diaz Dañino,Carlos Díaz Dañino,Secretario/a General,2024-06-13,2024-11-08,FALSE,08/11/2024,NO
Anatoly Renan Bedriñana Cordova,Anatoly Bedriñana Córdova,Secretario/a General,2024-12-17,2025-03-21,TRUE,,SI
Carlos Enrique Leon Romero,Carlos León Romero,Viceministro de Orden Interno,2022-12-13,2022-12-29,FALSE,29/12/2022,NO
Nestor Rogers Zegarra Silva,Néstor Zegarra Silva,Viceministro de Orden Interno,2022-12-29,2023-06-02,FALSE,02/06/2023,NO
Miguel Angel Nuñez Polar,Miguel Núñez Polar,Viceministro de Orden Interno,2023-06-02,2024-04-17,FALSE,17/04/2024,NO
Juan Jose Santivañez Antunez,Juan Santiváñez Antúnez,Viceministro de Orden Interno,2024-04-17,2024-05-16,FALSE,16/05/2024,NO
Luis Ricardo Chavez Gil,Luis Chávez Gil,Viceministro de Orden Interno,2024-05-31,2024-10-30,FALSE,30/10/2024,NO
Cesar Wilman Guardia Vasquez,Cesar Guardia Vásquez,Viceministro de Orden Interno,2024-11-06,2025-03-21,TRUE,,SI
Fidel Pintado Pasapera,Fidel Pintado Pasapera,Viceministro de Seguridad Pública,2022-12-13,2023-06-21,FALSE,21/06/2023,NO
Hector Heraclides Loayza Arrieta,Hector Loayza Arrieta,Viceministro de Seguridad Pública,2023-07-14,2024-01-30,FALSE,30/01/2024,NO
Julio Diaz Zulueta,Julio Díaz Zulueta,Viceministro de Seguridad Pública,2024-01-31,2025-03-21,TRUE,,SI
Sonia Raquel Medina Calvo,Sonia Medina Calvo,Director General de la Dirección General contra el Crimen Organizado,2023-03-25,2023-12-28,FALSE,28/12/2023,NO
Walter Ortiz Acosta,Walter Ortiz Acosta,Director General de la Dirección General contra el Crimen Organizado,2024-01-17,2024-04-01,FALSE,01/04/2024,NO
Mario Luis Accinelli Nolte,Mario Accinelli Nolte,Director General de la Dirección General contra el Crimen Organizado,2024-04-15,2024-05-22,FALSE,22/05/2024,NO
Walter Cesar Olivos Romano,Walter Olivos Romano,Director General de la Dirección General contra el Crimen Organizado,2024-05-22,2024-10-01,FALSE,01/10/2024,NO
Silvia Nayda De La Cruz Quintana,Silvia de La Cruz Quintana,Director General de la Dirección General contra el Crimen Organizado,2024-10-04,2025-03-21,TRUE,,SI
Benigna Del Carmen Aguilar Vela,Benigna Aguilar Vela,Director General de la Dirección General de Gobierno Interior,2022-12-13,2022-12-28,FALSE,28/12/2022,NO
Jorge Luis Ortiz Marreros,Jorge Ortiz Marreros,Director General de la Dirección General de Gobierno Interior,2022-12-28,2024-05-10,FALSE,10/05/2024,NO
Mario Luis Accinelli Nolte,Mario Accinelli Nolte,Director General de la Dirección General de Gobierno Interior,2024-05-22,2025-03-21,TRUE,,SI
Susana Patricia Miraval Garcia,Susana Miraval García,Director General de la Dirección General de Información para la Seguridad,2023-02-03,2023-12-01,FALSE,01/12/2023,NO
Carlos Eduardo Carazas Cardenas,Carlos Carazas Cárdenas,Director General de la Dirección General de Información para la Seguridad,2024-03-06,2024-04-30,FALSE,30/04/2024,NO
Carlos Noe Guillen Enriquez,Carlos Guillen Enríquez,Director General de la Dirección General de Información para la Seguridad,2024-06-27,2025-03-21,TRUE,,SI
Mario Nestor Moreno Alvarado,Mario Moreno Alvarado,Director General de la Dirección General de Inteligencia,2023-01-16,2023-12-01,FALSE,01/12/2023,NO
Sergio Luis Antonio Monar Moyoli,Sergio Monar Moyoli,Director General de la Dirección General de Inteligencia,2023-12-01,2024-03-14,FALSE,14/03/2024,NO
Victor Manuel Seguier Rosas,Victor Seguier Rosas,Director General de la Dirección General de Inteligencia,2024-05-15,2024-06-01,FALSE,01/06/2024,NO
Maxfredid Felix Perez Rodriguez,Maxfredid Perez Rodriguez,Director General de la Dirección General de Inteligencia,2024-06-01,2025-03-21,TRUE,,SI
Manuel Regner Rios Estrada,Manuel Ríos Estrada,Director General de la Dirección General de Orden Público,2022-12-13,2023-04-18,FALSE,18/04/2023,NO
Martin Severo Parra Saldaña,Martín Parra Saldaña,Director General de la Dirección General de Orden Público,2023-04-18,2023-05-22,FALSE,22/05/2023,NO
Nestor Rogers Zegarra Silva,Néstor Zegarra Silva,Director General de la Dirección General de Orden Público,2023-06-05,2024-04-22,FALSE,22/04/2024,NO
Edwin Antenor Rolando Pereyra,Edwin Rolando Pereyra,Director General de la Dirección General de Orden Público,2024-05-21,2025-03-21,TRUE,,SI
Miguel Fernando Lostaunau Fuentes,Miguel Lostaunau Fuentes,Director General de la Dirección General de Seguridad Ciudadana,2022-12-19,2023-12-12,FALSE,12/12/2023,NO
George Gembey Otsu Sánchez,George Otsu Sánchez,Director General de la Dirección General de Seguridad Ciudadana,2023-12-23,2024-02-19,FALSE,19/02/2024,NO
Aldo Lorenzo Villa Fajardo,Aldo Villa Fajardo,Director General de la Dirección General de Seguridad Ciudadana,2024-02-19,2024-06-19,FALSE,19/06/2024,NO
Luis Enrique Zamudio Argandoña,Luis Zamudio Argandoña,Director General de la Dirección General de Seguridad Ciudadana,2024-06-19,2025-03-21,TRUE,,SI
Aissa Vanessa Tejada Fernández,Aissa Tejada Fernández,Director General de la Dirección General de Seguridad Democrática,2023-02-10,2024-03-19,FALSE,19/03/2024,NO
Liliana Mariella Orrillo Viacava,Liliana Orrillo Viacava,Director General de la Dirección General de Seguridad Democrática,2024-04-11,2025-03-21,TRUE,,SI
