Distrito electoral,Organización Política,Tipo Organización Política,Votos,% Votos,Año
EXTRANJERO,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"88,245",28.55%,2011
EXTRANJERO,PERÚ POSIBLE,ALIANZA ELECTORAL,"46,634",15.09%,2011
EXTRANJERO,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"41,553",13.44%,2011
EXTRANJERO,GANA PERU,PARTIDO POLÍTICO,"39,775",12.87%,2011
EXTRANJERO,DESPERTAR NACIONAL,PARTIDO POLÍTICO,"1,482",0.48%,2011
EXTRANJERO,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,766,0.25%,2011
EXTRANJERO,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,660,0.21%,2011
EXTRANJERO,FUERZA NACIONAL,PARTIDO POLÍTICO,607,0.20%,2011
EXTRANJERO,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,555,0.18%,2011
EXTRANJERO,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,326,0.11%,2011
AMAZONAS,ACCION POPULAR,PARTIDO POLÍTICO,"12,703",9.61%,2021
AMAZONAS,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"11,531",8.72%,2021
AMAZONAS,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"4,433",3.35%,2021
AMAZONAS,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,234,0.18%,2021
AMAZONAS,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,285",0.97%,2021
AMAZONAS,FUERZA POPULAR,PARTIDO POLÍTICO,"17,815",13.48%,2021
AMAZONAS,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"8,894",6.73%,2021
AMAZONAS,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"1,926",1.46%,2021
AMAZONAS,PARTIDO MORADO,PARTIDO POLÍTICO,"1,858",1.41%,2021
AMAZONAS,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"15,642",11.83%,2021
AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"34,464",26.07%,2021
AMAZONAS,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,492,0.37%,2021
AMAZONAS,PERU PATRIA SEGURA,PARTIDO POLÍTICO,279,0.21%,2021
AMAZONAS,PODEMOS PERU,PARTIDO POLÍTICO,"4,937",3.73%,2021
AMAZONAS,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,774,0.59%,2021
AMAZONAS,RENOVACION POPULAR,PARTIDO POLÍTICO,"8,274",6.26%,2021
AMAZONAS,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"4,374",3.31%,2021
AMAZONAS,UNION POR EL PERU,PARTIDO POLÍTICO,"2,284",1.73%,2021
ANCASH,ACCION POPULAR,PARTIDO POLÍTICO,"38,911",8.25%,2021
ANCASH,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"44,047",9.34%,2021
ANCASH,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"34,562",7.33%,2021
ANCASH,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"1,799",0.38%,2021
ANCASH,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"3,638",0.77%,2021
ANCASH,FUERZA POPULAR,PARTIDO POLÍTICO,"67,394",14.28%,2021
ANCASH,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"39,786",8.43%,2021
ANCASH,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"10,554",2.24%,2021
ANCASH,PARTIDO MORADO,PARTIDO POLÍTICO,"7,307",1.55%,2021
ANCASH,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"6,069",1.29%,2021
ANCASH,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"110,620",23.45%,2021
ANCASH,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"5,111",1.08%,2021
ANCASH,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"2,105",0.45%,2021
ANCASH,PODEMOS PERU,PARTIDO POLÍTICO,"23,957",5.08%,2021
ANCASH,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"2,540",0.54%,2021
ANCASH,RENOVACION POPULAR,PARTIDO POLÍTICO,"42,312",8.97%,2021
ANCASH,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"28,405",6.02%,2021
ANCASH,UNION POR EL PERU,PARTIDO POLÍTICO,"2,668",0.57%,2021
APURIMAC,ACCION POPULAR,PARTIDO POLÍTICO,"15,649",9.42%,2021
APURIMAC,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"2,154",1.30%,2021
APURIMAC,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"6,531",3.93%,2021
APURIMAC,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,594,0.36%,2021
APURIMAC,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,158",0.70%,2021
APURIMAC,FUERZA POPULAR,PARTIDO POLÍTICO,"10,879",6.55%,2021
APURIMAC,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"15,368",9.25%,2021
APURIMAC,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,873,0.53%,2021
APURIMAC,PARTIDO MORADO,PARTIDO POLÍTICO,"1,687",1.02%,2021
APURIMAC,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"4,429",2.67%,2021
APURIMAC,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"88,812",53.44%,2021
APURIMAC,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,484,0.29%,2021
APURIMAC,PERU PATRIA SEGURA,PARTIDO POLÍTICO,388,0.23%,2021
APURIMAC,PODEMOS PERU,PARTIDO POLÍTICO,"2,376",1.43%,2021
APURIMAC,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"1,735",1.04%,2021
APURIMAC,RENOVACION POPULAR,PARTIDO POLÍTICO,"7,768",4.67%,2021
APURIMAC,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"2,392",1.44%,2021
APURIMAC,UNION POR EL PERU,PARTIDO POLÍTICO,"2,909",1.75%,2021
AREQUIPA,ACCION POPULAR,PARTIDO POLÍTICO,"88,708",11.15%,2021
AREQUIPA,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"18,790",2.36%,2021
AREQUIPA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"148,793",18.70%,2021
AREQUIPA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"2,580",0.32%,2021
AREQUIPA,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"3,237",0.41%,2021
AREQUIPA,FUERZA POPULAR,PARTIDO POLÍTICO,"40,216",5.05%,2021
AREQUIPA,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"55,269",6.95%,2021
AREQUIPA,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"8,664",1.09%,2021
AREQUIPA,PARTIDO MORADO,PARTIDO POLÍTICO,"13,819",1.74%,2021
AREQUIPA,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"7,735",0.97%,2021
AREQUIPA,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"256,224",32.20%,2021
AREQUIPA,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"10,227",1.29%,2021
AREQUIPA,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"2,827",0.36%,2021
AREQUIPA,PODEMOS PERU,PARTIDO POLÍTICO,"24,644",3.10%,2021
AREQUIPA,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"4,863",0.61%,2021
AREQUIPA,RENOVACION POPULAR,PARTIDO POLÍTICO,"71,053",8.93%,2021
AREQUIPA,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"32,086",4.03%,2021
AREQUIPA,UNION POR EL PERU,PARTIDO POLÍTICO,"5,976",0.75%,2021
AYACUCHO,ACCION POPULAR,PARTIDO POLÍTICO,"20,315",8.11%,2021
AYACUCHO,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"4,891",1.95%,2021
AYACUCHO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"8,995",3.59%,2021
AYACUCHO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,682,0.27%,2021
AYACUCHO,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"2,000",0.80%,2021
AYACUCHO,FUERZA POPULAR,PARTIDO POLÍTICO,"17,751",7.08%,2021
AYACUCHO,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"24,506",9.78%,2021
AYACUCHO,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"2,116",0.84%,2021
AYACUCHO,PARTIDO MORADO,PARTIDO POLÍTICO,"2,340",0.93%,2021
AYACUCHO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"8,753",3.49%,2021
AYACUCHO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"130,224",51.98%,2021
AYACUCHO,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,938,0.37%,2021
AYACUCHO,PERU PATRIA SEGURA,PARTIDO POLÍTICO,519,0.21%,2021
AYACUCHO,PODEMOS PERU,PARTIDO POLÍTICO,"4,187",1.67%,2021
AYACUCHO,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"3,152",1.26%,2021
AYACUCHO,RENOVACION POPULAR,PARTIDO POLÍTICO,"11,490",4.59%,2021
AYACUCHO,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"5,156",2.06%,2021
AYACUCHO,UNION POR EL PERU,PARTIDO POLÍTICO,"2,535",1.01%,2021
CAJAMARCA,ACCION POPULAR,PARTIDO POLÍTICO,"38,677",7.47%,2021
CAJAMARCA,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"43,422",8.39%,2021
CAJAMARCA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"25,156",4.86%,2021
CAJAMARCA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"1,282",0.25%,2021
CAJAMARCA,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"3,272",0.63%,2021
CAJAMARCA,FUERZA POPULAR,PARTIDO POLÍTICO,"54,962",10.62%,2021
CAJAMARCA,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"29,746",5.75%,2021
CAJAMARCA,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"7,627",1.47%,2021
CAJAMARCA,PARTIDO MORADO,PARTIDO POLÍTICO,"5,470",1.06%,2021
CAJAMARCA,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"9,908",1.91%,2021
CAJAMARCA,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"232,418",44.91%,2021
CAJAMARCA,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"2,350",0.45%,2021
CAJAMARCA,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"1,074",0.21%,2021
CAJAMARCA,PODEMOS PERU,PARTIDO POLÍTICO,"11,204",2.17%,2021
CAJAMARCA,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"3,501",0.68%,2021
CAJAMARCA,RENOVACION POPULAR,PARTIDO POLÍTICO,"31,129",6.02%,2021
CAJAMARCA,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"14,798",2.86%,2021
CAJAMARCA,UNION POR EL PERU,PARTIDO POLÍTICO,"1,466",0.28%,2021
CUSCO,ACCION POPULAR,PARTIDO POLÍTICO,"60,659",9.98%,2021
CUSCO,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"16,034",2.64%,2021
CUSCO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"40,423",6.65%,2021
CUSCO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"5,148",0.85%,2021
CUSCO,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"5,756",0.95%,2021
CUSCO,FUERZA POPULAR,PARTIDO POLÍTICO,"27,132",4.46%,2021
CUSCO,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"123,397",20.29%,2021
CUSCO,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"5,695",0.94%,2021
CUSCO,PARTIDO MORADO,PARTIDO POLÍTICO,"9,232",1.52%,2021
CUSCO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"6,907",1.14%,2021
CUSCO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"232,178",38.19%,2021
CUSCO,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"6,227",1.02%,2021
CUSCO,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"2,076",0.34%,2021
CUSCO,PODEMOS PERU,PARTIDO POLÍTICO,"8,648",1.42%,2021
CUSCO,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"8,006",1.32%,2021
CUSCO,RENOVACION POPULAR,PARTIDO POLÍTICO,"29,618",4.87%,2021
CUSCO,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"14,033",2.31%,2021
CUSCO,UNION POR EL PERU,PARTIDO POLÍTICO,"6,864",1.13%,2021
HUANCAVELICA,ACCION POPULAR,PARTIDO POLÍTICO,"16,727",11.35%,2021
HUANCAVELICA,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"2,312",1.57%,2021
HUANCAVELICA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"4,591",3.11%,2021
HUANCAVELICA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,439,0.30%,2021
HUANCAVELICA,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,564",1.06%,2021
HUANCAVELICA,FUERZA POPULAR,PARTIDO POLÍTICO,"8,449",5.73%,2021
HUANCAVELICA,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"10,091",6.85%,2021
HUANCAVELICA,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"1,405",0.95%,2021
HUANCAVELICA,PARTIDO MORADO,PARTIDO POLÍTICO,"1,464",0.99%,2021
HUANCAVELICA,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"5,338",3.62%,2021
HUANCAVELICA,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"79,895",54.21%,2021
HUANCAVELICA,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,404,0.27%,2021
HUANCAVELICA,PERU PATRIA SEGURA,PARTIDO POLÍTICO,285,0.19%,2021
HUANCAVELICA,PODEMOS PERU,PARTIDO POLÍTICO,"1,504",1.02%,2021
HUANCAVELICA,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"3,198",2.17%,2021
HUANCAVELICA,RENOVACION POPULAR,PARTIDO POLÍTICO,"5,060",3.43%,2021
HUANCAVELICA,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"2,515",1.71%,2021
HUANCAVELICA,UNION POR EL PERU,PARTIDO POLÍTICO,"2,146",1.46%,2021
HUANUCO,ACCION POPULAR,PARTIDO POLÍTICO,"22,565",7.64%,2021
HUANUCO,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"16,555",5.61%,2021
HUANUCO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"15,822",5.36%,2021
HUANUCO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,964,0.33%,2021
HUANUCO,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,276",0.43%,2021
HUANUCO,FUERZA POPULAR,PARTIDO POLÍTICO,"32,827",11.12%,2021
HUANUCO,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"15,556",5.27%,2021
HUANUCO,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"7,035",2.38%,2021
HUANUCO,PARTIDO MORADO,PARTIDO POLÍTICO,"2,618",0.89%,2021
HUANUCO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"6,708",2.27%,2021
HUANUCO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"110,978",37.59%,2021
HUANUCO,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"1,541",0.52%,2021
HUANUCO,PERU PATRIA SEGURA,PARTIDO POLÍTICO,795,0.27%,2021
HUANUCO,PODEMOS PERU,PARTIDO POLÍTICO,"7,820",2.65%,2021
HUANUCO,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"1,928",0.65%,2021
HUANUCO,RENOVACION POPULAR,PARTIDO POLÍTICO,"33,787",11.44%,2021
HUANUCO,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"12,667",4.29%,2021
HUANUCO,UNION POR EL PERU,PARTIDO POLÍTICO,"3,781",1.28%,2021
ICA,ACCION POPULAR,PARTIDO POLÍTICO,"39,475",9.73%,2021
ICA,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"16,716",4.12%,2021
ICA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"39,949",9.84%,2021
ICA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"1,086",0.27%,2021
ICA,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"2,128",0.52%,2021
ICA,FUERZA POPULAR,PARTIDO POLÍTICO,"62,102",15.30%,2021
ICA,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"30,611",7.54%,2021
ICA,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"5,805",1.43%,2021
ICA,PARTIDO MORADO,PARTIDO POLÍTICO,"7,686",1.89%,2021
ICA,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"4,514",1.11%,2021
ICA,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"56,627",13.95%,2021
ICA,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"6,860",1.69%,2021
ICA,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"1,394",0.34%,2021
ICA,PODEMOS PERU,PARTIDO POLÍTICO,"45,165",11.13%,2021
ICA,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"2,295",0.57%,2021
ICA,RENOVACION POPULAR,PARTIDO POLÍTICO,"46,116",11.36%,2021
ICA,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"34,862",8.59%,2021
ICA,UNION POR EL PERU,PARTIDO POLÍTICO,"2,423",0.60%,2021
JUNIN,ACCION POPULAR,PARTIDO POLÍTICO,"66,214",11.53%,2021
JUNIN,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"22,251",3.88%,2021
JUNIN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"54,124",9.43%,2021
JUNIN,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"2,733",0.48%,2021
JUNIN,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"3,555",0.62%,2021
JUNIN,FUERZA POPULAR,PARTIDO POLÍTICO,"80,057",13.94%,2021
JUNIN,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"52,270",9.10%,2021
JUNIN,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"8,093",1.41%,2021
JUNIN,PARTIDO MORADO,PARTIDO POLÍTICO,"11,070",1.93%,2021
JUNIN,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"12,640",2.20%,2021
JUNIN,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"131,438",22.89%,2021
JUNIN,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"6,504",1.13%,2021
JUNIN,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"2,402",0.42%,2021
JUNIN,PODEMOS PERU,PARTIDO POLÍTICO,"18,611",3.24%,2021
JUNIN,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"12,798",2.23%,2021
JUNIN,RENOVACION POPULAR,PARTIDO POLÍTICO,"52,599",9.16%,2021
JUNIN,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"27,777",4.84%,2021
JUNIN,UNION POR EL PERU,PARTIDO POLÍTICO,"8,962",1.56%,2021
LA LIBERTAD,ACCION POPULAR,PARTIDO POLÍTICO,"47,322",6.03%,2021
LA LIBERTAD,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"166,783",21.25%,2021
LA LIBERTAD,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"84,566",10.77%,2021
LA LIBERTAD,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"3,159",0.40%,2021
LA LIBERTAD,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"2,842",0.36%,2021
LA LIBERTAD,FUERZA POPULAR,PARTIDO POLÍTICO,"131,866",16.80%,2021
LA LIBERTAD,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"37,474",4.77%,2021
LA LIBERTAD,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"13,513",1.72%,2021
LA LIBERTAD,PARTIDO MORADO,PARTIDO POLÍTICO,"13,202",1.68%,2021
LA LIBERTAD,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"4,597",0.59%,2021
LA LIBERTAD,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"90,324",11.51%,2021
LA LIBERTAD,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"8,402",1.07%,2021
LA LIBERTAD,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"2,993",0.38%,2021
LA LIBERTAD,PODEMOS PERU,PARTIDO POLÍTICO,"40,107",5.11%,2021
LA LIBERTAD,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"2,485",0.32%,2021
LA LIBERTAD,RENOVACION POPULAR,PARTIDO POLÍTICO,"95,973",12.23%,2021
LA LIBERTAD,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"36,355",4.63%,2021
LA LIBERTAD,UNION POR EL PERU,PARTIDO POLÍTICO,"2,885",0.37%,2021
LAMBAYEQUE,ACCION POPULAR,PARTIDO POLÍTICO,"51,467",9.08%,2021
LAMBAYEQUE,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"58,849",10.39%,2021
LAMBAYEQUE,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"50,087",8.84%,2021
LAMBAYEQUE,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"1,699",0.30%,2021
LAMBAYEQUE,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,546",0.27%,2021
LAMBAYEQUE,FUERZA POPULAR,PARTIDO POLÍTICO,"121,263",21.40%,2021
LAMBAYEQUE,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"28,866",5.09%,2021
LAMBAYEQUE,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"12,005",2.12%,2021
LAMBAYEQUE,PARTIDO MORADO,PARTIDO POLÍTICO,"9,605",1.70%,2021
LAMBAYEQUE,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"4,481",0.79%,2021
LAMBAYEQUE,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"73,279",12.93%,2021
LAMBAYEQUE,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"7,813",1.38%,2021
LAMBAYEQUE,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"2,237",0.39%,2021
LAMBAYEQUE,PODEMOS PERU,PARTIDO POLÍTICO,"27,231",4.81%,2021
LAMBAYEQUE,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"1,882",0.33%,2021
LAMBAYEQUE,RENOVACION POPULAR,PARTIDO POLÍTICO,"86,126",15.20%,2021
LAMBAYEQUE,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"25,800",4.55%,2021
LAMBAYEQUE,UNION POR EL PERU,PARTIDO POLÍTICO,"2,332",0.41%,2021
LIMA,ACCION POPULAR,PARTIDO POLÍTICO,"362,881",6.83%,2021
LIMA,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"206,522",3.89%,2021
LIMA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"871,000",16.40%,2021
LIMA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"17,554",0.33%,2021
LIMA,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"16,985",0.32%,2021
LIMA,FUERZA POPULAR,PARTIDO POLÍTICO,"754,216",14.20%,2021
LIMA,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"431,633",8.13%,2021
LIMA,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"88,536",1.67%,2021
LIMA,PARTIDO MORADO,PARTIDO POLÍTICO,"181,131",3.41%,2021
LIMA,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"42,762",0.81%,2021
LIMA,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"416,743",7.85%,2021
LIMA,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"180,602",3.40%,2021
LIMA,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"24,343",0.46%,2021
LIMA,PODEMOS PERU,PARTIDO POLÍTICO,"407,004",7.66%,2021
LIMA,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"22,081",0.42%,2021
LIMA,RENOVACION POPULAR,PARTIDO POLÍTICO,"870,416",16.39%,2021
LIMA,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"387,931",7.30%,2021
LIMA,UNION POR EL PERU,PARTIDO POLÍTICO,"28,166",0.53%,2021
RESIDENTES EN EL EXTRANJERO,ACCION POPULAR,PARTIDO POLÍTICO,"11,607",7.18%,2021
RESIDENTES EN EL EXTRANJERO,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"3,070",1.90%,2021
RESIDENTES EN EL EXTRANJERO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"21,519",13.32%,2021
